"titulo";;;"letra";;;"artista"
"1";;;"Cinema Total";;;"Tudo está em guerra
Me pergunto como esse mar tão azul
Continua banhando a Terra

As vitrines da cidade
Iluminam as pessoas
E as ladeiras nesse fim de tarde

Eu vou passar na sua rua
Pra gente esquecer
As notícias da TV

E viver o nosso cinema
E na ausência de paz
Fico em paz, fico em paz

Tudo está em guerra
Me pergunto como esse mar tão azul
Continua banhando a Terra

As vitrines da cidade
Iluminam as pessoas
E as ladeiras nesse fim de tarde

Eu vou passar na sua rua
Pra gente esquecer
As notícias da TV
E viver o nosso cinema";;;"sophia"
"2";;;"Tempestade de Verão";;;"Se você me deixar
Nunca mais eu canto um dó
Se você me deixar
Nunca mais eu canto um dó

Nunca mais eu tenho do de ninguém
Nunca mais eu tomo Sol, por aí
Nunca mais eu passo lá pra te ver
Nunca mais você vai saber ou me ouvir

Desafinado, assoviando
Novas canções que eu ainda não acabei
Dentro do meu coração vai chover
Tempestade de verão

Será sempre escuridão
Se você abrir essa porta
Fechar a janela
Fazer as sacolas
Apagar as velas

Nunca mais vai fazer Sol, por aqui
Luz não brilha mais nesse coração
Já não posso assoviar dó, ré, mi
Mas eu sei que nunca mais vai fazer Sol, lá, sí

Você me deixar
Nunca mais eu canto um dó
Se você me deixar
Nunca mais eu canto um dó";;;"sophia"
"3";;;"NOVA ERA (part. Felipe Vaqueiro)";;;"Eu, eu quero ir embora
Não vou ficar pra ver
Esse fim de festa

Reviver o que restou do nosso amor
Pedir perdão
E acordar com você

Fazendo promessas
As mesmas que eu tanto acreditei
Você não mudou, eu não mudei

Não, você não merece o meu amor
E eu não mereço o seu
Esqueça meu nome, mude de bairro

Eu - eu quero ir embora
Eu não vou chorar
Dessa vez frase nenhuma vai me convencer porque

Ninguém vai vencer essa nossa guerra
Meu bem, meu amor, esse é o início de uma nova era

(Eu vou embora)

Eu, eu quero ir embora
Eu não vou chorar
Dessa vez, dessa vez eu não vou chorar
Eu não vou chorar
Eu não vou (não)
Você não merece o meu amor
E nunca mereceu";;;"sophia"
"4";;;"Viciado em carinho (part. Felipe Vaqueiro)";;;"Eu não quero ser só
Eu não tenho mais gás
O nosso disco arranhou
As capas seguem iguais

Porque eu não quero muito
Só quero o tempo todo
Ser o seu assunto
E nunca mais ficar solto

Sozinho, sozinho
Sozinho, sozinho

Veja bem, eu não quero ser só (mais)
Eu não tenho mais gás
O nosso filme queimou
E ainda segue em cartaz

Porque eu não quero muito
Só quero o tempo todo
Ser o seu assunto
E nunca mais ficar solto

Sozinho, sozinho (sozinho)
Sozinho, sozinho
Não quero ficar sozinho
Só viciado em carinho

Eu não quero ser só
Eu não tenho mais gás
O nosso disco queimou
E ainda segue em cartaz

Eu não quero
Só quero o tempo todo
Ser o seu assunto
E nunca mais ficar solto

Sozinho, sozinho (sozinho)
Sozinho, sozinho";;;"sophia"
"5";;;"Segredo";;;"Olha no meio da minha cara
Não vê que não há nada a esconder
Me engole, me fode que eu sou sua
Me engana, diz que eu presto
Ou que você
Quer saber dos equinócios
Quer ouvir os violinos líquidos

Olha no meio da minha cara
Não vê que não há nada a esconder
Me engole, me fode que eu sou sua
Me engana, diz que eu presto
Ou que você
Quer saber dos equinócios
Quer ouvir os violinos líquidos

Mas se você quiser
Eu viro um segredo seu
Não faço barulho nem chamo atenção de ninguém

Mas se você quiser
Eu viro um segredo seu
Não faço barulho nem chamo atenção de ninguém

Olha no meio da minha cara
Não vê que não há nada a esconder
Me engole, me fode que eu sou sua
Me engana, diz que eu presto
Ou que você
Quer saber dos equinócios
Quero ouvir os violinos líquidos

Mas se você quiser
Eu viro um segredo seu
Não faço barulho nem chamo atenção de ninguém

Mas se você quiser
Eu viro um segredo seu
Não faço barulho nem chamo atenção de ninguém";;;"sophia"
"6";;;"Hexagrama 28";;;"Primeiro você me disse eu não sou quieto não
Durmo e acordo e vivo e como com minhas inquietações calado
Pra onde ir? Pra que ficar?
E se voltar e se partir, e eu concordei
Quem sou pra discordar

Segundo meu iching hexagrama 28
Eu parto o mundo, eu parto o todo, eu pego o meu, eu disse a você
Que o mundo é seu
Mas você não me entende
E eu também não me entendo
Eu sou frágil pra caralho

Vamos recorrer aos tarôs, ao passado do amor, às fissuras
Do que restou mas nada está aqui
E que nós somos dois meninos
Sem signo sem sentido sem direção
Sem perigo
Os nossos corpos são tão estranhos e inofensivos

Nem se eu quisesse conseguiria ofender qualquer um agora
Pela noite adentro pela noite afora
Moro na porta da minha paixão pela vida
E essa música não tem nada a ver com amor
Com amor, eu
Moro na toca da minha paixão pela vida
E essa música não tem nada a ver com amor
Eu moro na toca da minha paixão pela vida
Pela vida
E essa música não tem nada a ver com amor
(Com amor, eu)
Primeiro você me disse eu não sou quieto não";;;"sophia"
"7";;;"Venha Comigo";;;"Vou sumir com o tempo
Pra dar tempo da gente ficar
Nessa coisa, nesse jogo
Entre o corpo e a poética

Vou fazer dormir as horas
Colocar Deus pra descansar
Hoje não tem expediente
Sejamos imprudentes, vamos pro Ceará

Vou sumir com o tempo
Pra dar tempo da gente ficar
Nessa coisa, nesse jogo
Entre o corpo e a poética

Vou fazer dormir as horas
Colocar Deus pra descansar
Hoje não tem expediente
Sejamos imprudentes, vamos pro Ceará

Isso é um sequestro
Sou réu confesso
Venha comigo
Sou seu amigo
Suba no meu carro
Fume um cigarro
Apague as luzes

Vou sumir com o tempo
Pra dar tempo da gente ficar
Nessa coisa, nesse jogo
Entre o corpo e a poética

Vou fazer dormir as horas
Colocar Deus pra descansar
Hoje não tem expediente
Sejamos imprudentes, vamos pro Ceará

Vou sumir com o tempo
Pra dar tempo da gente ficar
Nessa coisa, nesse jogo
Entre o corpo e a poética

Vou fazer dormir as horas
Colocar Deus pra descansar
Hoje não tem expediente
Sejamos imprudentes, vamos pro Ceará
Isso é um sequestro

Sou réu confesso
Venha comigo
Sou seu amigo
Suba no meu carro
Fume um cigarro
Apague as luzes
E me seduza
Me tire a blusa
Me faça ver";;;"sophia"
"8";;;"Cinema Brasileiro";;;"O cinema brasileiro tá pegando fogo
E eu estou pegando fogo pelo cinema brasileiro
E o cinema brasileiro tá ficando velho
E eu quero envelhecer bem como o cinema brasileiro

E eu estou apaixonado por uma menina
Ela também é do cinema brasileiro
Eu beijaria o set inteiro
Só pra disfarçar

Gosto de você
Pra caralho
Como eu gosto de você

E o cinema brasileiro é foda pra caralho
E eu estou fudendo o cinema brasileiro
E o cinema brasileiro é lindo
E eu quero ser lindo tal qual o cinema brasileiro

E eu estou apaixonado por uma menina
Ela também é do cinema brasileiro
Eu beijaria o set inteiro
Só pra disfarçar

Gosto de você
Pra caralho
Como eu gosto de você";;;"sophia"
"9";;;"Debaixo do Pano";;;"Debaixo do pano, dentro da saia
O tempo não passa e não quer passar
O pano que cobre, a gente se olha
E finge não sacar
Que abaixo do céu tudo é chão
E acima do chão, tudo já pode ser
Parte do universo

Repeteco, remember
É coisa do tipo
Não vale insistir
No que tá muito mais alto
Do que o Cristo Redentor

Atrás do trio elétrico
No farol, frango assado
Pelas estradas dessa situação
Quando todos os semáforos estão verdes
E o Largo da Batata grita em comoção

Debaixo do pano, dentro da saia
O tempo não passa e não quer passar
O pano que cobre, a gente se olha
E finge não sacar
Que abaixo do céu tudo é chão
E acima do chão, tudo já pode ser
Parte do universo

Repeteco, remember
É coisa do tipo
Não vale insistir
No que tá muito mais alto
Do que o Circo Voador

Atrás do trio elétrico
No farol, frango assado
Pelas estradas dessa situação
Quando todos os semáforos estão verdes
E o Largo da Batata grita em comoção

O jeito que a gente se cabe
Esmaga a gente mesmo
Como se vivêssemos numa
Caixinha de fósforo

Que pode ser muito bom
Pode ser muito gostoso, mas
Mas, faz tão mal
Para os meus ossos

Debaixo do pano, dentro da saia
O tempo não passa e não quer passar
O pano que cobre, a gente se olha
E finge não sacar
Que abaixo do céu tudo é chão
E acima do chão, tudo já pode ser";;;"sophia"
"10";;;"Delícia / Luxúria";;;"O cheiro do carro
O motor vibrando delícia luxúria
Me resta o pecado
Se você não quer também não posso fazer nada por nós
Você me deforma
Como qualquer som que invade os meus ouvidos
Ou pulsa no cerne de cada ser um tema inaudível
O cheiro do carro
O motor vibrando delícia luxúria
Me resta o pecado
Se você não quer também não posso fazer nada por nós
Mas se quer
E não há nada que contenha que segure esse tesão

Minha vertigem, minha mágoa
Minha desculpa, meu resto de drão
O cheiro do carro
O motor vibrando delícia luxúria
Me resta o pecado
Se você não quer também não posso fazer nada por nós
Você me deforma
Como qualquer som que invade os meus ouvidos
Ou pulsa no cerne de cada ser um tema inaudível
O cheiro do carro
O motor vibrando delícia luxúria
Me resta o pecado
Se você não quer também não posso fazer nada por nós
Mas se quer
E não há nada que contenha que segure esse tesão
Minha vertigem, minha mágoa
Desculpa, meu resto de drão";;;"sophia"
"11";;;"Quem vai apagar a luz";;;"Quem, que vai apagar a luz
Quando o Sol explodir
Quem é que vai contar os cacos
E se um novo animal nascer, de dentro do homem nu
Quem vai chamar, família
Olho pra parede
Daquela construção, daquela rua
Entre meus dedos, olhos e a constatação
De coisa dura, há um vazio
Entre meus dedos, meu corpo, os fios de cabelo, pentelhos
Entre eu, ela, eles
Meu corpo, a cama, a cama, seu corpo
O fundo do poço e a poça, o gozo
As omeletes, memórias, mentiras
Fagulhas, pronomes, ets e caipiras

Quem, que vai apagar a luz
Quando o Sol explodir
Quem é que vai contar os cacos
E se um novo animal nascer, de dentro do homem nu
Quem vai chamar, família

Quem, que vai apagar a luz
Quando o Sol explodir
Quem é que vai contar os cacos";;;"sophia"
"12";;;"Idas e Vindas do Amor";;;"Não consigo mais fingir que tá
Tudo bem comigo
Não aguento mais ignorar
A falta que você me faz
Baby

São as idas e vindas do amor
São as idas e vindas do amor

Então melhor sofrer
Do que ser blasé
E fingir que nada
Me afeta
Que nada me afeta

Não consigo mais fingir que tá
Tudo bem comigo
Não aguento mais ignorar
A falta que você me faz
Baby

São as idas e vindas do amor
São as idas e vindas do amor
Baby";;;"sophia"
"13";;;"Madalena";;;"Ô Madalena
Esse teu jeito de brincar com o tempo
Me absorveu
Ô Madalena
Se ainda sobra o resto que sou
O resto é seu

Ela me provou
Que o tempo é invenção
Ela penetrou
O meu mistério com seus dedos de cigana
Vai embora como se nem tivesse vindo
Me agarra Madalena e sai fugindo

Ô Madalena
Esse teu jeito de brincar com o tempo
Me absorveu
Ô Madalena
Se ainda sobra o resto que sou
O resto é seu

Ela me provou
Que o tempo é invenção
Ela penetrou
O meu mistério com seus dedos de cigana
Vai embora como se nem tivesse vindo
Me agarra Madalena e sai fugindo

Ô Madalena
Esse teu jeito de brincar com o tempo
Me absorveu
Ô Madalena
Se ainda sobra o resto que sou
O resto é seu

Ela me provou
Que o tempo é invenção
Ela penetrou
O meu mistério com seus dedos de cigana
Vai embora como se nem tivesse vindo
Me agarra Madalena e sai fugindo
Vai embora como se nem tivesse vindo
Me agarra Madalena e sai fugindo

Ô Madalena aaaa
Ô Madalena aaaa
Ô Madalena aaaa
Ô Madalena aaaa
Vai embora como se nem tivesse vindo
Me agarra Madalena e sai fugindo
Vai embora como se nem tivesse vindo
Me agarra Madalena
Me agarra Madalena
Me agarra Madalena e sai fugindo.";;;"sophia"
"14";;;"Qualquer Canção";;;"Eu não vou fazer qualquer canção
Só pra dizer o que eu sinto agora
Vou ter que esperar alguém em algum lugar
Descobrir outra palavra

Eu não vou fazer qualquer canção
Só pra dizer o que eu sinto agora
Vou ter que esperar alguém em algum lugar
Descobrir outra palavra";;;"sophia"
"15";;;"Baby Míssil";;;"Dialética da nudez
Quanto mais me dispo, mais me visto
Você deve ter visto
Para viajar aos United States
Baby, I miss you
Quem vai segurar esse míssil
Fotografei todos os eclipses
Cobertos por nuvens ciganas
Cê não me engana não

São pontos de fuga num plano infinito
Fins e começos, memórias de lítio
A fonte da morte, o dia que parece não acabar
Vê se não se acaba
Vê se pode aparecer mais
(Mais, mais, mais)";;;"sophia"
"16";;;"Se Você";;;"Se você
Entendesse o que eu digo
O que eu choro
Meu amor, o que eu grito

Se você
Entendesse o que eu sou
Eu tenho certeza
Cê não ia ficar comigo

Mas como você não vê
Ou finge que não vê
Meu jeito visceral
Tão impulsivo
Nada fica claro
Tudo fica subentendido";;;"sophia"
"17";;;"Deus Tesão";;;"Se até Deus
Sentiu desejo pra criar a Terra
E transformar o abismo em matéria
Qual é o problema de eu sentir vontade?

Se até Deus
Sentiu desejo pra criar a Terra
Transformar o abismo em matéria
Qual é o problema de eu sentir vontade?

Não sei se fico, eu não sei se vou
Não sei se volto, eu não sei se vou
Não sei se fico, eu não sei se tô
Não sei se volto, eu não sei se vou

Laiá, laiá
(Laiá, laiá)
(Laiá, laiá, laiá, laiá, laiá)
(Laiá, laiá, laiá, laiá, laiá)
(Laiá) laiá, laiá, laiá, laiá

Laiá, laiá
Laiá, laiá, laiá, laiá, laiá, laiá, laiá
Laiá, laiá
(Laiá, laiá, laiá, laiá, laiá, lá)

Se até Deus
Sentiu desejo pra criar a Terra
E transformar o abismo em matéria
Qual é o problema de eu sentir vontade?

Não sei se fico, eu não sei se tô
Não sei se volto, eu não sei se tô
Não sei se fico, eu não sei se vou
Não sei se volto, eu não sei se vou

Se até Deus
Sentiu desejo pra criar a Terra
E transformar o abismo em matéria
Qual é o problema de eu sentir vontade, querida?

Oh, Chico, eu quero um cigarrinho aí
Quero um cigarrinho, aí
Alguém me dá um cigarrinho, aí
Tá faltando empatia
Tô precisando de um isqueiro agora";;;"sophia"
"18";;;"Neurose";;;"A tarefa interminável
Da distancia irredutível
Palavras são palácios
Pessoas são parentes sem vinculo

A tarefa interminável
Da distancia irredutível
Palavras são palácios
Pessoas são parentes sem vinculo

Não se questione
Meu amor não bote pra fuder
Não relacione, qualquer coisa nada é A mais B
Se der atenda o interfone
Não faça falta
Não seja o fim

A tarefa interminável
Da distancia irredutível
Palavras são palácios
Pessoas são parentes sem vinculo

Não se questione
Meu amor não bote pra fuder
Não relacione, qualquer coisa nada é A mais B
Se der atenda o interfone
Não faça falta
Não seja o fim

Neurose
Seu toque
Só volte com o rabo entre as pernas

Neurose
Seu toque
Só volte com o rabo

O rabo do rabo
O rabo da perna
A perna do rabo
Todo mundo tem";;;"sophia"
"19";;;"No princípio era o Verbo";;;"Toda palavra é um sopro
É flecha e escopo
Toda palavra é muralha e saída
Toda palavra é morta e é viva

Toda palavra tem gosto
Adocica a língua
Toda palavra começa e se finda
Toda palavra é mãe e é filha

Toda palavra carrega
Destrói, recria

Toda palavra é um sopro";;;"sophia"
"20";;;"Moças e Aeromoças";;;"Moças e as aeromoças
Garotas, garotas de programa de TV
Moças e as aeromoças
Garotas, garotas de programa de TV

O importante é reconhecer o belo
E ousar expressá-lo
E inserindo uma ordem efêmera
Que em todo universo
Que caiba na palavra talvez

Moças e as aeromoças
Garotas, garotas de programa de TV

O importante é reconhecer o belo
E ousar expressá-lo
O importante é reconhecer o belo
E ousar expressá-lo

Nas moças e nas aeromoças
Garotas, garotas de programa de TV";;;"sophia"
"21";;;"Minha Mãe É Perfeita";;;"Minha mãe é perfeita
Meu irmão é perfeito
Minha mãe é perfeita
Meu irmão é perfeito

Só eu e meu pai
Só eu e meu pai que temos de

Minha mãe é perfeita
Meu irmão é perfeito
Minha mãe é perfeita
Meu irmão é perfeito

Só eu e meu pai
Só eu e meu pai que temos defeitos";;;"sophia"
"22";;;"Deus Lindo";;;"Diz o quê
Atrás de Deus
Lindo, gospel, cospe em mim

Diz o quê
Atrás de Deus
Lindo, gospel, cospe em mim

Diz o quê
Atrás de Deus
Lindo, sexy
Penetração!";;;"sophia"
"23";;;"Fora do Meu Quarto";;;"Fora do meu quarto você está em qualquer lugar do mundo
Longe do meu peito qualquer canto pode ser melhor
Cada um tem sua maneira de fingir e estar bem

Longe, perto, longe, perto, dentro
Eu quero você dentro, de mim
Assim";;;"sophia"
"24";;;"Pop Cabecinha";;;"O tempo que eu perdi anotando o ritmo do pisca-alerta
Tentando decifrar quantas vezes o semáforo pisca até fechar
A quantidade de metros que faz uma roda ser gigante
E o índice de morte nas banheiras do Japão
Meio amor já basta pra acabar com a relação
Sofá é tão lo-fi

E as brigas dos casais que se unem só pra discutir
Me deixam refletindo se nós somos grandes interruptores de luz
Se eu sou mais Ravi Shankar ou Jesus

Procurando a acidez de fulano
Você sentiu (atenção)
Eu não disse nada demais
Água de beber
De mar
De mãe
De benção

Luxo só pura sopa
Luxo só pura sopa
Luxo só pura sopa
Luxo só pura sopa";;;"sophia"
